user_pseudo_id,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps
DEE5757A27CE7668AEA5E8FF07FBF13F,4,1,1,0,0,0,0,0,0,0,0
AEB090C760FD73513C341B2BF17B671F,2,1,0,0,0,0,0,0,0,0,0
20CC06E4C26A68069C6B4B6FF22925C8,15,5,0,0,0,0,0,0,0,0,0
09D64A2353D88593021B6ADE40A55089,10,3,3,0,0,0,0,0,0,0,0
8E9AF5710AB209EBDB86A9E3263EC24F,14,6,6,0,1,6,0,0,0,0,0
03D09EC0E7D363DD6E6F8E96E71EF821,7,2,1,0,0,0,0,1,0,0,0
A2A6C482A2F19037E3A89B70E16CF148,26,10,9,0,0,0,0,0,0,0,0
63DC7D4093165CA24BEDD80FD22B0DD0,1,20,0,0,19,0,0,0,0,0,0
931923624BAB3FB742C9685E8B8C8F82,4,1,1,0,0,0,0,0,0,0,0
5EB71EF8D3A55742EAC490AF5B0764D4,11,4,4,4,0,4,0,0,0,0,0
44A7AEA599FD40907CFB969FA22FD9FB,12,5,5,5,0,5,0,0,0,0,0
4F78D8FDAC8011CCAB40816FED99403E,31,9,9,2,0,2,0,0,0,0,0
EB97C4A7F83275C5D10D5C7944B95AB3,1,0,0,0,0,0,0,0,0,0,0
871E1E83FB149EFF85F6EAF3EA6EE38B,1,5,4,3,0,3,0,0,0,0,0
A51BF75239709A5494645BEAABC3453D,36,12,12,6,0,20,0,0,0,0,0
FD59D3EE59289365DF3B121BA2529C1B,1,0,0,0,0,0,0,0,0,0,0
1043C28A3DC504006CC45ADE96B95A96,3,1,1,1,0,1,0,0,0,0,0
60B766E7BB3D77B2F3453302137C6E0A,13,1,0,0,0,2,0,0,0,0,0
EBE661044C1949546986A852F35083A1,3,1,1,1,0,1,0,0,0,0,0
FC62ADB8DDAF3576A564D1A5FC5E24F0,10,0,0,0,0,0,0,0,0,0,0
F2D4C11350064031EA8AC50AA63F94A8,35,9,4,0,1,0,0,0,0,0,0
A934B78A4B0A0D85718D89303D195B2E,2,0,0,0,0,0,0,0,0,0,0
90661BFEBB42671421697F7DA63EC771,9,3,2,0,0,2,0,0,0,0,0
1B959D672ABAE4A3BFB9D720D415E064,135,0,0,0,0,19,1,0,0,1,1
55BFF903A55C62757C592CB25D7F1056,3,1,0,0,0,0,0,0,0,0,0
17636078D57884AD7EA5406C60E2BD10,169,54,51,19,1,19,0,0,0,0,0
3FF20DE9292722BB06E90DC5E902E5F7,15,4,3,0,0,0,0,0,0,0,0
83087EBE7E2001DD1918810489389A6D,4,0,0,0,0,0,0,0,0,0,0
BB90E3EF80325C68D00E6BCEEBDCAA79,14,1,0,0,0,3,0,0,0,0,0
F3B0F2F150A1D91E15BB07FACD1EFC89,3,0,0,0,0,0,0,0,0,0,0
B2F661E88136265632545A030F09A88A,35,9,2,0,6,4,0,0,0,0,0
82660A783170BC1C45EEAB3B713B6C5C,8,1,0,0,0,0,0,0,0,0,0
DFF46496068299CA44163BEF38B7F89D,11,3,2,1,0,1,1,0,0,0,1
2AA17DDA4E909FFE2BD3EEA50A63F4A0,3,0,0,0,0,0,0,0,0,0,0
84155F8B9A962233332DF4E82CF8B703,5,2,2,1,0,1,0,0,0,0,0
4F342B4E268D83D898DFDF87A2DF7065,21,0,0,0,0,8,0,0,0,0,0
19C8EAB201DA2CDDC1240ACD0E3D7441,3,0,0,0,0,0,0,0,0,0,0
57665A278A54980F95181A64E6D55E6A,8,1,0,0,0,0,0,0,0,0,0
91BF8E59808AD0D73F16ED3DDC984877,10,2,2,2,0,2,0,0,0,0,0
468FA30CB551D6C736E09B82A52D3BC6,19,12,4,3,7,3,0,0,0,0,0
43251B4821FA3F7EF7A38628655ACB7D,1,1,0,0,0,0,0,0,0,0,0
F737990A8EE1F47ADA4A5200F9C38A97,3,0,0,0,0,0,0,0,0,0,0
80B7E9D1DF9155BA2277817B7F1E06AE,3,0,0,0,0,0,0,0,0,0,0
9D535D543FD07B8247DEADB4669FADE6,41,16,11,5,3,5,0,0,0,0,0
8BE7BF90C971453A34C1FF6FF2A0ACAE,700,143,132,43,1,74,4,0,0,1,4
1B2A9E461E99FB1D165894AFE613AD73,29,8,7,4,0,4,0,0,0,0,0
9B18A1CBA96D52D05CFA7CB7C9011EDE,387,99,78,9,0,9,0,0,0,0,0
A455B9E2AFF03D3DD29AAD30366003BE,19,4,2,0,1,3,0,0,0,0,0
